Fig_IDs,Left_Name,Right_Name,Clumpy_Rank_Left,Clumpy_Rank_Right,ClustMe_Rank_Left,ClustMe_Rank_Right
235,musicnetgroups_GlimmerMDS_2,tse300_GlimmerMDS_2,85,193,182,218
236,ms_interleaved_400_800_3d_0_TSNE_2,italianwines_GlimmerMDS_2,14,103,12,214
237,tse300_GlimmerMDS_2,hiv_TSNE_2,193,107,218,227
238,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,249,238,32,184
239,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,bbdm13_PCA_data,66,7,38,185
240,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,120,101,170,233
241,musicnetgroups_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,85,101,182,233
242,n100-d5-c5-spr0.2-out0_TSNE_2,ms_interleaved_40_80_3d_50_PCA_data,77,101,188,233
243,musicnetgroups_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,85,66,182,38
244,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,249,247,32,27
245,n100-d5-c5-spr0.2-out0_TSNE_2,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,77,189,188,123
246,interleaved_100_200_15d_25_cramped_rotated_PCA_data,musicnetgroups_GlimmerMDS_2,240,85,89,182
247,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,ms_interleaved_400_800_3d_0_TSNE_2,249,14,32,12
248,italianwines_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,103,101,214,233
249,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,247,109,27,205
250,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,189,102,123,248
251,n100-d10-c3-spr0.1-out0_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,16,14,155,12
252,tse300_GlimmerMDS_2,boston_TSNE_2D,193,142,218,128
253,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,189,66,123,38
254,spambase_GlimmerMDS_2,tse300_GlimmerMDS_2,178,193,180,218
255,bbdm13_PCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,7,145,185,114
256,n500-d10-c5-spr0.2-out0_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,185,14,168,12
257,n500-d5-c3-spr0.2-out0_TSNE_2,hiv_TSNE_2,145,107,114,227
258,n500-d10-c5-spr0.2-out0_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,185,164,168,132
259,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,25,219,161,52
260,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,spambase_GlimmerMDS_2,249,178,32,180
261,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,bbdm13_PCA_data,249,7,32,185
262,interleaved_100_200_4d_25_cramped_rotated_PCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,164,102,132,248
263,ms_interleaved_400_800_3d_50_PCA_data,boston_TSNE_2D,238,142,184,128
264,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,tse300_GlimmerMDS_2,146,193,153,218
265,interleaved_100_200_4d_25_cramped_rotated_PCA_data,interleaved_100_200_10d_25_cramped_rotated_PCA_data,164,247,132,27
266,boston_TSNE_2D,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,142,120,128,170
267,ms_interleaved_400_800_3d_50_PCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,238,240,184,89
268,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,158,219,78,52
269,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,247,77,27,188
270,n100-d5-c5-spr0.2-out0_TSNE_2,boston_TSNE_2D,77,142,188,128
271,bbdm13_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,7,109,185,205
272,ms_interleaved_400_800_3d_0_TSNE_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,14,25,12,161
273,n500-d5-c3-spr0.2-out0_TSNE_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,145,146,114,153
274,interleaved_250_500_3_0_notCramped_rotated_PCA_data,n100-d10-c3-spr0.1-out0_PCA_data,219,16,52,155
275,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,ms_interleaved_400_800_3d_0_TSNE_2,215,14,51,12
276,interleaved_100_200_4d_25_cramped_rotated_PCA_data,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,164,66,132,38
277,n100-d5-c5-spr0.2-out0_RobPCA_data,ms_interleaved_40_80_3d_50_PCA_data,109,101,205,233
278,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,247,25,27,161
279,n100-d5-c5-spr0.2-out0_RobPCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,109,164,205,132
280,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,215,216,51,109
281,bbdm13_PCA_data,italianwines_GlimmerMDS_2,7,103,185,214
282,hiv_TSNE_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,107,219,227,52
283,n100-d5-c5-spr0.2-out0_TSNE_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,77,25,188,161
284,italianwines_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,103,102,214,248
285,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,189,49,123,150
286,tse300_GlimmerMDS_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,193,164,218,132
287,n500-d10-c5-spr0.2-out0_PCA_data,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,185,189,168,123
288,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,120,158,170,78
289,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,189,158,123,78
290,interleaved_100_200_4d_25_cramped_rotated_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,164,216,132,109
291,interleaved_250_500_3_0_notCramped_rotated_PCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,219,102,52,248
292,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_10d_25_cramped_rotated_PCA_data,216,247,109,27
293,n500-d5-c3-spr0.2-out0_TSNE_2,italianwines_GlimmerMDS_2,145,103,114,214
294,n100-d10-c3-spr0.1-out0_PCA_data,ms_interleaved_400_800_3d_50_PCA_data,16,238,155,184
295,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,italianwines_GlimmerMDS_2,49,103,150,214
296,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,n500-d5-c3-spr0.2-out0_TSNE_2,216,145,109,114
297,boston_TSNE_2D,ms_interleaved_400_800_3d_0_TSNE_2,142,14,128,12
298,boston_TSNE_2D,musicnetgroups_GlimmerMDS_2,142,85,128,182
299,musicnetgroups_GlimmerMDS_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,85,216,182,109
300,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,49,219,150,52
301,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,215,189,51,123
302,n100-d10-c3-spr0.1-out0_PCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,16,49,155,150
303,spambase_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,178,101,180,233
304,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,249,66,32,38
305,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,n500-d5-c3-spr0.2-out0_TSNE_2,25,145,161,114
306,n100-d5-c3-spr0.2-out0_RobPCA_data,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,102,66,248,38
307,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_400_800_3d_50_PCA_data,120,238,170,184
308,interleaved_100_200_15d_25_cramped_rotated_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,240,216,89,109
309,n100-d5-c3-spr0.2-out0_RobPCA_data,boston_TSNE_2D,102,142,248,128
310,boston_TSNE_2D,n500-d10-c5-spr0.2-out0_PCA_data,142,185,128,168
311,tse300_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,193,16,218,155
312,spambase_GlimmerMDS_2,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,178,189,180,123
313,boston_TSNE_2D,ms_interleaved_40_80_3d_50_PCA_data,142,101,128,233
314,n100-d10-c3-spr0.1-out0_PCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,16,145,155,114
315,ms_interleaved_400_800_3d_0_TSNE_2,n100-d5-c5-spr0.2-out0_RobPCA_data,14,109,12,205
316,boston_TSNE_2D,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,142,25,128,161
317,spambase_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,178,16,180,155
318,musicnetgroups_GlimmerMDS_2,bbdm13_PCA_data,85,7,182,185
319,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,boston_TSNE_2D,215,142,51,128
320,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,249,109,32,205
321,bbdm13_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,7,215,185,51
322,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,215,77,51,188
323,italianwines_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_RobPCA_data,103,109,214,205
324,n100-d10-c3-spr0.1-out0_PCA_data,n100-d5-c5-spr0.2-out0_RobPCA_data,16,109,155,205
325,interleaved_100_200_4d_25_cramped_rotated_PCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,164,158,132,78
326,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,249,146,32,153
327,musicnetgroups_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,85,120,182,170
328,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,146,164,153,132
329,tse300_GlimmerMDS_2,ms_interleaved_40_80_3d_50_PCA_data,193,101,218,233
330,n500-d5-c3-spr0.2-out0_TSNE_2,tse300_GlimmerMDS_2,145,193,114,218
331,interleaved_100_200_10d_25_cramped_rotated_PCA_data,musicnetgroups_GlimmerMDS_2,247,85,27,182
332,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,spambase_GlimmerMDS_2,216,178,109,180
333,n100-d5-c5-spr0.2-out0_TSNE_2,musicnetgroups_GlimmerMDS_2,77,85,188,182
334,n100-d5-c3-spr0.2-out0_RobPCA_data,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,102,146,248,153
335,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,215,249,51,32
336,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,120,16,170,155
337,interleaved_250_500_3_0_notCramped_rotated_PCA_data,boston_TSNE_2D,219,142,52,128
338,n500-d10-c5-spr0.2-out0_PCA_data,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,185,249,168,32
339,ms_interleaved_400_800_3d_50_PCA_data,hiv_TSNE_2,238,107,184,227
340,interleaved_250_500_3_0_notCramped_rotated_PCA_data,ms_interleaved_40_80_3d_50_PCA_data,219,101,52,233
341,tse300_GlimmerMDS_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,193,219,218,52
342,bbdm13_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,7,164,185,132
343,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,ms_interleaved_40_80_3d_50_PCA_data,146,101,153,233
344,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,66,158,38,78
345,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,215,164,51,132
346,hiv_TSNE_2,n100-d10-c3-spr0.1-out0_PCA_data,107,16,227,155
347,interleaved_250_500_3_0_notCramped_rotated_PCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,219,164,52,132
348,hiv_TSNE_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,107,49,227,150
349,ms_interleaved_400_800_3d_0_TSNE_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,14,164,12,132
350,interleaved_100_200_4d_25_cramped_rotated_PCA_data,musicnetgroups_GlimmerMDS_2,164,85,132,182
351,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,bbdm13_PCA_data,216,7,109,185
352,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,49,145,150,114
353,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,italianwines_GlimmerMDS_2,66,103,38,214
354,ms_interleaved_400_800_3d_50_PCA_data,tse300_GlimmerMDS_2,238,193,184,218
355,ms_interleaved_40_80_3d_50_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,101,25,233,161
356,n500-d10-c5-spr0.2-out0_PCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,185,158,168,78
357,n100-d5-c3-spr0.2-out0_RobPCA_data,tse300_GlimmerMDS_2,102,193,248,218
358,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,25,120,161,170
359,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,158,77,78,188
360,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,ms_interleaved_40_80_3d_50_PCA_data,158,101,78,233
361,bbdm13_PCA_data,boston_TSNE_2D,7,142,185,128
362,hiv_TSNE_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,107,216,227,109
363,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,25,66,161,38
364,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,tse300_GlimmerMDS_2,49,193,150,218
365,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,n500-d10-c5-spr0.2-out0_PCA_data,66,185,38,168
366,n100-d5-c3-spr0.2-out0_RobPCA_data,n500-d10-c5-spr0.2-out0_PCA_data,102,185,248,168
367,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,158,25,78,161
368,n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,145,189,114,123
369,n100-d5-c5-spr0.2-out0_TSNE_2,interleaved_100_200_15d_25_cramped_rotated_PCA_data,77,240,188,89
370,n100-d10-c3-spr0.1-out0_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,16,25,155,161
371,n500-d10-c5-spr0.2-out0_PCA_data,musicnetgroups_GlimmerMDS_2,185,85,168,182
372,hiv_TSNE_2,n500-d10-c5-spr0.2-out0_PCA_data,107,185,227,168
373,interleaved_100_200_15d_25_cramped_rotated_PCA_data,spambase_GlimmerMDS_2,240,178,89,180
374,n100-d5-c5-spr0.2-out0_TSNE_2,bbdm13_PCA_data,77,7,188,185
375,ms_interleaved_40_80_3d_50_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,101,216,233,109
376,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,158,240,78,89
377,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,247,145,27,114
378,interleaved_100_200_10d_25_cramped_rotated_PCA_data,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,247,120,27,170
379,spambase_GlimmerMDS_2,musicnetgroups_GlimmerMDS_2,178,85,180,182
380,n500-d5-c3-spr0.2-out0_TSNE_2,n100-d5-c3-spr0.2-out0_RobPCA_data,145,102,114,248
381,interleaved_100_200_4d_25_cramped_rotated_PCA_data,italianwines_GlimmerMDS_2,164,103,132,214
382,boston_TSNE_2D,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,142,216,128,109
383,n500-d10-c5-spr0.2-out0_PCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,185,219,168,52
384,hiv_TSNE_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,107,164,227,132
385,tse300_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_TSNE_2,193,77,218,188
386,n100-d5-c5-spr0.2-out0_TSNE_2,hiv_TSNE_2,77,107,188,227
387,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_TSNE_2,249,77,32,188
388,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,n100-d10-c3-spr0.1-out0_PCA_data,66,16,38,155
389,ms_interleaved_400_800_3d_50_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,238,216,184,109
390,n100-d5-c3-spr0.2-out0_RobPCA_data,ms_interleaved_40_80_3d_50_PCA_data,102,101,248,233
391,bbdm13_PCA_data,n500-d10-c5-spr0.2-out0_PCA_data,7,185,185,168
392,interleaved_100_200_15d_25_cramped_rotated_PCA_data,bbdm13_PCA_data,240,7,89,185
393,n100-d5-c5-spr0.2-out0_RobPCA_data,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,109,66,205,38
394,n100-d5-c5-spr0.2-out0_RobPCA_data,ms_interleaved_400_800_3d_50_PCA_data,109,238,205,184
395,interleaved_100_200_15d_25_cramped_rotated_PCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,240,25,89,161
396,ms_interleaved_400_800_3d_0_TSNE_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,14,219,12,52
397,tse300_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,193,66,218,38
398,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,66,49,38,150
399,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,interleaved_100_200_4d_25_cramped_rotated_PCA_data,49,164,150,132
400,n500-d5-c3-spr0.2-out0_TSNE_2,interleaved_100_200_15d_25_cramped_rotated_PCA_data,145,240,114,89
401,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,146,25,153,161
402,italianwines_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,103,16,214,155
403,italianwines_GlimmerMDS_2,hiv_TSNE_2,103,107,214,227
404,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,hiv_TSNE_2,215,107,51,227
405,n500-d5-c3-spr0.2-out0_TSNE_2,ms_interleaved_40_80_3d_50_PCA_data,145,101,114,233
406,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,hiv_TSNE_2,120,107,170,227
407,interleaved_100_200_4d_25_cramped_rotated_PCA_data,n100-d5-c5-spr0.2-out0_TSNE_2,164,77,132,188
408,italianwines_GlimmerMDS_2,n500-d10-c5-spr0.2-out0_PCA_data,103,185,214,168
409,n100-d5-c5-spr0.2-out0_RobPCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,109,219,205,52
410,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,n500-d10-c5-spr0.2-out0_PCA_data,146,185,153,168
411,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,spambase_GlimmerMDS_2,215,178,51,180
412,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,n100-d5-c5-spr0.2-out0_TSNE_2,66,77,38,188
413,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,n100-d5-c3-spr0.2-out0_RobPCA_data,25,102,161,248
414,boston_TSNE_2D,interleaved_100_200_15d_25_cramped_rotated_PCA_data,142,240,128,89
415,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,146,120,153,170
416,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,189,146,123,153
417,n500-d5-c3-spr0.2-out0_TSNE_2,spambase_GlimmerMDS_2,145,178,114,180
418,spambase_GlimmerMDS_2,ms_interleaved_60_120_3d_50_centeredClusters_TSNE_2,178,66,180,38
419,interleaved_250_500_3_0_notCramped_rotated_PCA_data,italianwines_GlimmerMDS_2,219,103,52,214
420,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,bbdm13_PCA_data,49,7,150,185
421,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n100-d10-c3-spr0.1-out0_PCA_data,249,16,32,155
422,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,189,25,123,161
423,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,n100-d5-c5-spr0.2-out0_TSNE_2,120,77,170,188
424,spambase_GlimmerMDS_2,interleaved_100_200_4d_25_cramped_rotated_PCA_data,178,164,180,132
425,n100-d5-c3-spr0.2-out0_RobPCA_data,ms_interleaved_400_800_3d_50_PCA_data,102,238,248,184
426,interleaved_100_200_4d_0_notcramped_notrotated_GlimmerMDS_2,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,249,216,32,109
427,interleaved_100_200_10d_25_cramped_rotated_PCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,247,158,27,78
428,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,189,219,123,52
429,interleaved_100_200_10d_25_cramped_rotated_PCA_data,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,247,49,27,150
430,ms_interleaved_60_120_3d_0_centeredClusters_RobPCA_data,n100-d5-c3-spr0.2-out0_RobPCA_data,49,102,150,248
431,interleaved_250_500_3_0_notCramped_rotated_PCA_data,interleaved_100_200_15d_0_notcramped_notrotated_PCA_data,219,215,52,51
432,interleaved_250_500_3_0_notCramped_rotated_PCA_data,n500-d10-c5-spr0.1-out0_GlimmerMDS_2,219,216,52,109
433,ms_interleaved_400_800_3d_0_TSNE_2,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,14,158,12,78
434,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,189,120,123,170
435,italianwines_GlimmerMDS_2,n500-d10-c3-spr0.1-out0_GlimmerMDS_2,103,25,214,161
436,n100-d10-c3-spr0.1-out0_PCA_data,bbdm13_PCA_data,16,7,155,185
437,n500-d5-c5-spr0.1-out0_GlimmerMDS_2,interleaved_100_200_15d_25_cramped_rotated_PCA_data,189,240,123,89
438,n100-d5-c3-spr0.2-out0_RobPCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,102,240,248,89
439,n500-d5-c3-spr0.1-out0_GlimmerMDS_2,interleaved_250_500_3_0_notCramped_rotated_PCA_data,120,219,170,52
440,n100-d10-c3-spr0.1-out0_PCA_data,JavierGeneratedData_3dinterleaved_4classes_RobPCA_data,16,158,155,78
441,italianwines_GlimmerMDS_2,musicnetgroups_GlimmerMDS_2,103,85,214,182
442,n100-d5-c5-spr0.2-out0_RobPCA_data,n500-d5-c3-spr0.2-out0_TSNE_2,109,145,205,114
443,ms_interleaved_40_80_3d_50_PCA_data,interleaved_100_200_15d_25_cramped_rotated_PCA_data,101,240,233,89
444,ms_interleaved_60_120_3d_25_centeredClusters_RobPCA_data,spambase_GlimmerMDS_2,146,178,153,180
445,bbdm13_PCA_data,interleaved_250_500_3_0_notCramped_rotated_PCA_data,7,219,185,52
